organisms,Organism Groups,Assembly,Size(Mb),GC%
Rhodococcus enclensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_900094765.1,7.47874,62.3
Fictibacillus enclensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900094955.1,4.5009,44.3
Fenollaria timonensis,Bacteria;Terrabacteria group;Firmicutes,GCA_001457835.1,1.73938,35.7
Ruegeria atlantica,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_013032005.1,4.39975,57.1
Pseudarthrobacter enclensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001457025.1,4.22623,67.1
Shimia marina,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001458175.1,4.00186,57.4
Thalassobius mediterraneus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900156595.1,3.40555,58.7
Thalassobius gelatinovorus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_012295595.1,3.98569,58.5818
Tropicibacter naphthalenivorans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001458375.1,4.45938,63.2
Epibacterium multivorans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900112515.1,4.149,59.7
Leisingera aquaemixtae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006740765.1,4.38011,64.513
Clostridium neonatale,Bacteria;Terrabacteria group;Firmicutes,GCA_900465025.1,4.73964,28.6
Acetivibrio ethanolgignens,Bacteria;Terrabacteria group;Firmicutes,GCA_001461035.1,3.66025,41
Methanocaldococcus bathoardescens,Archaea;Euryarchaeota;Methanomada group,GCA_000739065.1,1.60756,30.8
Sinomonas humi,Bacteria;Terrabacteria group;Actinobacteria,GCA_000802235.1,4.41608,67.2
Kiloniella litopenaei,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000982415.1,4.31212,46.1
Rhodopirellula islandica,Bacteria;PVC group;Planctomycetes,GCA_001027925.1,7.4332,57.2
Devriesea agamarum,Bacteria;Terrabacteria group;Actinobacteria,GCA_900070355.1,2.95888,60.1
Pyrodictium occultum,Archaea;TACK group;Crenarchaeota,GCA_001462395.1,1.62173,63.5
Nitrincola nitratireducens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000585235.1,4.02765,46.8
Aureimonas frigidaquae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001463905.1,4.09823,66.1
Sellimonas intestinalis,Bacteria;Terrabacteria group;Firmicutes,GCA_003435335.1,3.23478,45.1
Pseudorhodobacter psychrotolerans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001294535.1,5.07908,60.3
Pandoraea norimbergensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001465545.3,6.16737,63.1
Planococcus rifietoensis,Bacteria;Terrabacteria group;Firmicutes,GCA_001465795.2,3.50501,48.5
Planococcus kocurii,Bacteria;Terrabacteria group;Firmicutes,GCA_001465835.2,3.48558,40.8977
Dehalogenimonas alkenigignens,Bacteria;Terrabacteria group;Chloroflexi,GCA_001466665.1,1.85158,55.9
Enterococcus silesiacus,Bacteria;Terrabacteria group;Firmicutes,GCA_001886225.1,3.91539,36.4
Paenibacillus naphthalenovorans,Bacteria;Terrabacteria group;Firmicutes,GCA_001465255.1,5.20014,49.7
Pseudoalteromonas translucida KMM 520,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001465295.1,4.14759,40.0905
Lacimicrobium alkaliphilum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002591895.1,4.30345,49.6
Legionella brunensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900639795.1,3.75704,38.7
Fluoribacter bozemanae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900450575.1,4.23231,38
Legionella adelaidensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900639835.1,2.36941,38.9
Legionella birminghamensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900452515.1,3.78924,43.5
Legionella worsleiensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900453045.1,3.16181,40.4
Legionella cincinnatiensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900452415.1,4.099,36.9
Legionella feeleii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900639755.1,3.53425,40.9
Legionella erythra,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001467615.1,3.23914,46.7
Legionella gratiana,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900452545.1,3.97638,37
Fluoribacter gormanii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900450965.1,3.87265,38.2
Legionella jamestowniensis DSM 19215,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900114725.1,3.40971,39.4
Legionella jordanis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900637635.1,3.13372,41.7
Legionella israelensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004564155.1,2.96788,39.8
Legionella londiniensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900452755.1,2.45297,43.4
Legionella maceachernii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900460175.1,3.66106,40.5
Legionella nautarum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001467895.1,3.64943,39.7
Legionella parisiensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900461585.1,4.20214,38
Legionella quateirensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900452695.1,4.28152,39.1
Legionella quinlivanii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003265995.1,3.68419,43
Legionella steelei,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001468005.1,4.22717,38.8
Legionella tucsonensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900640035.1,3.35716,37.4
Legionella steigerwaltii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900452835.1,3.99809,38.3
Pseudomonas helleri,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001043065.1,5.86526,58.3
Legionella rubrilucens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900640015.1,3.18691,47.5
Legionella santicrucis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001468135.1,4.82092,36.7
Legionella waltersii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900187095.1,3.7357,39.2
Lacinutrix jangbogonensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000797445.1,4.01753,32.2
Lampropedia cohaerens,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001005215.1,3.15892,63.5
Pyrobaculum ferrireducens,Archaea;TACK group;Crenarchaeota,GCA_000234805.1,2.46797,57
Pseudomonas weihenstephanensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001043055.1,4.79211,57.3
Legionella spiritensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900637495.1,3.40767,45.2
Alteromonas mediterranea,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001886435.1,4.65221,44.4971
Geobacillus icigianus,Bacteria;Terrabacteria group;Firmicutes,GCA_000750005.1,3.45781,52
Trueperella bernardiae,Bacteria;Terrabacteria group;Actinobacteria,GCA_002860745.1,2.04683,65.5
Haloprofundus marisrubri,Archaea;Euryarchaeota;Stenosarchaea group,GCA_001469955.1,3.92956,62.5
Enterobacter kobei,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002151955.1,4.92126,55
Curtobacterium luteum,Bacteria;Terrabacteria group;Actinobacteria,GCA_013359885.1,3.70321,71.8
Exiguobacterium indicum HHS 31,Bacteria;Terrabacteria group;Firmicutes,GCA_001939065.1,3.24497,46.6
Curtobacterium oceanosedimentum,Bacteria;Terrabacteria group;Actinobacteria,GCA_001475745.1,3.36983,71.8
Curtobacterium citreum,Bacteria;Terrabacteria group;Actinobacteria,GCA_006715175.1,3.61204,71.9
Novosphingobium barchaimii LL02,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001046635.1,5.31347,64
Sphingomonas endophytica,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001476895.1,3.64165,67.8
Paenibacillus jamilae,Bacteria;Terrabacteria group;Firmicutes,GCA_001477135.1,5.58665,45.6
Sphingomonas yabuuchiae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001477495.1,3.90916,66
Methanobrevibacter millerae,Archaea;Euryarchaeota;Methanomada group,GCA_001477655.1,2.54354,31.8
Luteimonas abyssi,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001482195.1,3.98819,69.2
Kocuria flava,Bacteria;Terrabacteria group;Actinobacteria,GCA_001482365.1,3.63834,73.945
Acinetobacter seifertii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004378605.1,3.88247,38.6
Streptomyces silvensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001482415.1,9.74133,72.1
Streptomyces yangpuensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001005295.1,7.64685,72.2
Dethiosulfatarculus sandiegensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000931935.2,5.93499,52.1
Siccibacter colletis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000696575.1,4.25552,57.1
Myroides marinus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_900109075.1,4.15831,33.6
Solirubrum puertoriconensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001483135.1,4.80472,58.8
Tenacibaculum dicentrarchi,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001483385.1,2.91825,31.5
Serinicoccus chungangensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_006337125.1,3.46344,73.1
Roseateles depolymerans,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001483865.1,5.68172,66.6
Thermococcus celericrescens,Archaea;Euryarchaeota;Thermococci,GCA_001484195.1,2.33714,54.3
Pseudarthrobacter sulfonivorans,Bacteria;Terrabacteria group;Actinobacteria,GCA_001484605.1,5.05615,64.6794
Streptomyces kanasensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001484625.1,7.02626,73.9
Alkalihalobacillus shacheensis,Bacteria;Terrabacteria group;Firmicutes,GCA_001484965.1,3.9822,47.1
Tepidanaerobacter syntrophicus,Bacteria;Terrabacteria group;Firmicutes,GCA_001485475.2,2.42793,38.6
Bittarella massiliensis,Bacteria;Terrabacteria group;Firmicutes,GCA_001486165.1,2.80698,63.1
Streptomyces specialis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001493375.1,5.88416,72.6
Olsenella scatoligenes,Bacteria;Terrabacteria group;Actinobacteria,GCA_001494635.1,2.46956,62.4
Acetobacter senegalensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001499615.1,3.96991,54.4792
Fournierella massiliensis,Bacteria;Terrabacteria group;Firmicutes,GCA_004345265.1,3.73271,57
Acetobacter ghanensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_011516865.1,2.79403,56.9
Thermus parvatiensis,Bacteria;Terrabacteria group;Deinococcus-Thermus,GCA_001535545.1,2.0161,68.4929
Staphylococcus auricularis,Bacteria;Terrabacteria group;Firmicutes,GCA_003040695.1,2.28359,37.1
Chryseobacterium greenlandense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001507325.1,4.03652,34.1
Deinococcus actinosclerus,Bacteria;Terrabacteria group;Deinococcus-Thermus,GCA_003206515.1,4.01202,70.5754
Sphingobium czechense LL01,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001046645.1,4.65611,63.6
Aeromicrobium erythreum,Bacteria;Terrabacteria group;Actinobacteria,GCA_001509405.1,3.62924,72.1
Actinoplanes awajinensis subsp. mycoplanecinus,Bacteria;Terrabacteria group;Actinobacteria,GCA_001509495.1,11.3927,71.1
Streptomyces regalis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001509475.1,10.9543,70.2
Mesorhizobium erdmanii,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_013170725.1,6.60222,62.9
Citrobacter pasteurii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000826205.1,4.98662,51.8
Methanosarcina flavescens,Archaea;Euryarchaeota;Stenosarchaea group,GCA_001304615.2,3.28369,41.3
Paenibacillus bovis,Bacteria;Terrabacteria group;Firmicutes,GCA_001421015.2,5.5172,47.2203
Streptomyces curacoi,Bacteria;Terrabacteria group;Actinobacteria,GCA_001513975.1,8.41225,71
Streptomyces pseudovenezuelae,Bacteria;Terrabacteria group;Actinobacteria,GCA_001513955.1,9.63974,71
Streptomyces cellostaticus,Bacteria;Terrabacteria group;Actinobacteria,GCA_001513965.1,9.83528,70.9
Streptomyces corchorusii,Bacteria;Terrabacteria group;Actinobacteria,GCA_001514055.1,10.3095,72
Streptomyces yokosukanensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001514035.1,10.1593,71.1
Streptomyces olivochromogenes,Bacteria;Terrabacteria group;Actinobacteria,GCA_002335465.1,11.6396,70.2
Streptomyces longwoodensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001514125.1,8.36362,73
Streptomyces griseorubiginosus,Bacteria;Terrabacteria group;Actinobacteria,GCA_006516935.1,9.22603,71.2
Streptomyces bungoensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001514215.1,8.40898,72.5
Streptomyces caeruleatus,Bacteria;Terrabacteria group;Actinobacteria,GCA_001514235.1,10.2905,70.7
Paenibacillus pabuli,Bacteria;Terrabacteria group;Firmicutes,GCA_003259455.1,7.11451,46.3
Aquitalea pelogenes,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001515305.1,4.39082,59.5
Acidibacillus ferrooxidans,Bacteria;Terrabacteria group;Firmicutes,GCA_002027205.1,2.99049,52.2
Draconibacterium sediminis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000949475.1,5.99223,40.9
Halobacterium hubeiense,Archaea;Euryarchaeota;Stenosarchaea group,GCA_001488575.1,3.13035,66.576
Halococcus agarilyticus,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000334895.1,3.47673,66
Defluviitalea phaphyphila,Bacteria;Terrabacteria group;Firmicutes,GCA_001466305.1,2.53981,27.7
Apibacter mensalis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_900018365.1,2.3311,30.5
Bacillus halotolerans,Bacteria;Terrabacteria group;Firmicutes,GCA_004006435.1,4.15425,43.8
Erwinia gerundensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001517405.1,4.48126,55.2684
Caviibacter abscessus,Bacteria;Fusobacteria;Fusobacteriia,GCA_001517835.1,1.21921,26.5
Sneathia sanguinegens,Bacteria;Fusobacteria;Fusobacteriia,GCA_001517935.1,1.29102,26.7
Thermobifida cellulosilytica TB100,Bacteria;Terrabacteria group;Actinobacteria,GCA_001517975.1,4.43037,71.5
Tritonibacter horizontis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001518015.1,4.86208,61.5
Novosphingobium fuchskuhlense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001519075.1,3.96841,65.3
Elizabethkingia bruuniana,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_002024805.1,4.43352,35.9
Elizabethkingia ursingii,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_002023405.1,4.13409,35.7
Burkholderia territorii,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001718335.1,6.90237,66.7484
Burkholderia diffusa,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001718315.1,6.85783,66.4604
Burkholderia pseudomultivorans,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001532085.1,7.66749,67.4
Burkholderia stagnalis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001718955.1,7.58381,67.6836
Burkholderia anthina,Bacteria;Proteobacteria;Betaproteobacteria,GCA_902498995.1,7.60818,66.7
Burkholderia latens,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001718795.1,6.61448,66.3874
Microtetraspora malaysiensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001528665.1,8.82221,70.7
Marinobacterium profundum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001528745.1,5.63774,57.2
Hyphomicrobium sulfonivorans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_013306565.1,3.55173,61.2
Vibrio toranzoniae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900089765.1,4.56337,43.9
Micromonospora rifamycinica,Bacteria;Terrabacteria group;Actinobacteria,GCA_900090265.1,7.01137,73
Streptomyces griseochromogenes,Bacteria;Terrabacteria group;Actinobacteria,GCA_001542625.2,10.7647,70.8
Microterricola viridarii,Bacteria;Terrabacteria group;Actinobacteria,GCA_900104895.1,3.83782,69.6
Aerococcus sanguinicola,Bacteria;Terrabacteria group;Firmicutes,GCA_008726925.1,2.13825,47.5
Aerococcus urinaehominis,Bacteria;Terrabacteria group;Firmicutes,GCA_001543245.1,1.8314,42.8
Hydrogenibacillus schlegelii,Bacteria;Terrabacteria group;Firmicutes,GCA_001653195.1,2.60891,66.1
Streptomyces thermoautotrophicus,Bacteria;Terrabacteria group;Actinobacteria,GCA_001543925.1,5.01493,69.2
Limnochorda pilosa,Bacteria;Terrabacteria group;Firmicutes,GCA_001544015.1,3.81704,69.7
Comamonas terrae,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001544075.1,4.71671,65.7
Enterococcus canis NBRC 100695,Bacteria;Terrabacteria group;Firmicutes,GCA_001544375.1,2.85421,41.9
Caballeronia humi,Bacteria;Proteobacteria;Betaproteobacteria,GCA_007474635.1,7.14819,64
Caballeronia telluris,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001544495.2,7.05611,64
Caballeronia terrestris,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001544515.2,8.20136,62.6
Caballeronia choica,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001544535.2,9.77621,62.6
Mycolicibacterium wolinskyi,Bacteria;Terrabacteria group;Actinobacteria,GCA_002101965.1,7.51686,66.4
Halomonas chromatireducens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001545155.1,3.97365,62.8
Paenibacillus jilunlii,Bacteria;Terrabacteria group;Firmicutes,GCA_010450915.1,7.10541,50.9
Paracoccus aminovorans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900005615.1,4.03813,67.3846
Thermosulfidibacter takaii ABI70S6,Bacteria;Aquificae;Aquificae,GCA_001547735.1,1.81667,43
Lunatimonas lonarensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000390185.1,5.39204,46.8
Dechloromonas denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001551835.1,4.23853,61.8
Nocardiopsis trehalosi NBRC 14201,Bacteria;Terrabacteria group;Actinobacteria,GCA_001552555.1,6.37955,75.2
Atopobium deltae,Bacteria;Terrabacteria group;Actinobacteria,GCA_001552785.1,1.4521,51.5
Gemella asaccharolytica,Bacteria;Terrabacteria group;Firmicutes,GCA_001553005.1,1.28986,26.7
Peptoniphilus coxii,Bacteria;Terrabacteria group;Firmicutes,GCA_001553115.1,1.83705,44.6
Actinomyces radicidentis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001553565.1,3.05161,72.6
Desulfovibrio fairfieldensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_001553605.1,3.69931,60.9
Vibrio tritonius,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001547935.1,5.22193,43.9316
Asaia bogorensis NBRC 16594,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001547995.1,3.19827,59.8
Caldimicrobium thiodismutans,Bacteria;Thermodesulfobacteria;Thermodesulfobacteria,GCA_001548275.1,1.81495,38.3
Kordiimonas lacus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900101935.1,4.00082,57.2
Celeribacter halophilus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003254175.1,3.86692,58.1
Pseudoalteromonas shioyasakiensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001550135.1,4.80755,41.3
Pseudoalteromonas arabiensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001550155.1,4.45911,40.9
Pseudoxanthomonas mexicana,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001556105.1,3.94221,66.5
Neisseria perflava,Bacteria;Proteobacteria;Betaproteobacteria,GCA_002863305.1,2.31902,48.8
Porphyrobacter donghaensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002155425.1,3.37228,66.2
Xylophilus ampelinus,Bacteria;Proteobacteria;Betaproteobacteria,GCA_003217575.1,3.7315,67.8
Photobacterium aquimaris,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003026515.1,4.39282,39.8
Pseudoruegeria sabulilitoris,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001558155.1,5.32468,62.4
Paramesorhizobium deserti,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001558695.1,5.48221,60.9
Enterovibrio coralii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001559595.1,5.502,48.3
Streptobacillus hongkongensis,Bacteria;Fusobacteria;Fusobacteriia,GCA_001559795.1,1.46048,26.3
Streptobacillus felis,Bacteria;Fusobacteria;Fusobacteriia,GCA_013421525.1,1.38691,26.5
Abyssisolibacter fermentans,Bacteria;Terrabacteria group;Firmicutes,GCA_001559865.1,4.78636,28.8
Amycolatopsis regifaucium,Bacteria;Terrabacteria group;Actinobacteria,GCA_900113515.1,8.28761,68.5
Bradyrhizobium viridifuturi,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001238275.1,8.81192,64
Pseudovibrio hongkongensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001561995.1,3.7466,53.3
Demequina gelatinilytica,Bacteria;Terrabacteria group;Actinobacteria,GCA_000971115.1,3.22837,71.5
Demequina phytophila,Bacteria;Terrabacteria group;Actinobacteria,GCA_000971135.1,2.98496,71.7
Demequina maris,Bacteria;Terrabacteria group;Actinobacteria,GCA_000971155.1,2.96686,72.3
Demequina rhizosphaerae,Bacteria;Terrabacteria group;Actinobacteria,GCA_000971255.1,3.03437,72.2
Demequina iriomotensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_000971395.1,3.16444,71.9
Myxococcus hansupus,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000280925.3,9.49043,69.2
Alteromonas addita,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001562195.1,4.64915,43.6
Thermotalea metallivorans,Bacteria;Terrabacteria group;Firmicutes,GCA_001562415.1,3.0945,40.3
Fervidicola ferrireducens,Bacteria;Terrabacteria group;Firmicutes,GCA_001562425.1,2.43906,45.8
Methanobrevibacter olleyae,Archaea;Euryarchaeota;Methanomada group,GCA_001563245.1,2.20119,26.9
Chryseobacterium kwangjuense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001563495.1,5.08743,38.5
Faecalibaculum rodentium,Bacteria;Terrabacteria group;Firmicutes,GCA_001564455.1,2.54249,54
Demequina pelophila,Bacteria;Terrabacteria group;Actinobacteria,GCA_000971175.1,2.68299,72.2
Demequina soli,Bacteria;Terrabacteria group;Actinobacteria,GCA_000971195.1,3.00269,72.4
Demequina silvatica,Bacteria;Terrabacteria group;Actinobacteria,GCA_000971215.1,2.91879,72.1
Demequina subtropica,Bacteria;Terrabacteria group;Actinobacteria,GCA_000971235.1,3.07558,71.7
Pseudovibrio stylochi,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001562055.1,3.68205,47
Pseudomonas composti,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_013407905.1,5.67287,62.5
Microtetraspora fusca,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570365.1,9.02489,70.9
Microtetraspora niveoalba,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570405.1,8.46998,71.6
Mycolicibacterium brisbanense,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570425.1,7.38749,66.6
Mycolicibacterium canariasense,Bacteria;Terrabacteria group;Actinobacteria,GCA_002101555.1,6.75557,67.6
Herbidospora sakaeratensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570525.1,8.5957,71
Herbidospora mongoliensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570545.1,9.07175,69.4
Herbidospora yilanensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570565.1,7.857,70.8
Herbidospora daliensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570585.1,8.52367,70.8
Paenibacillus amylolyticus,Bacteria;Terrabacteria group;Firmicutes,GCA_001570725.1,6.76055,46.2
Mycolicibacterium novocastrense,Bacteria;Terrabacteria group;Actinobacteria,GCA_001499825.1,5.63981,66.8
Nocardiopsis listeri NBRC 13360,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570765.1,5.68552,68.9
Brevibacterium epidermidis NBRC 14811,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570805.1,3.70326,64.3
Micrococcus lylae,Bacteria;Terrabacteria group;Actinobacteria,GCA_900163825.1,2.67088,71.3
Ferrimonas marina,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900129905.1,4.98377,60.5
Hydrogenophaga flava NBRC 102514,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001571145.1,5.15191,67.1
Hydrogenophaga palleronii NBRC 102513,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001571225.1,4.84175,66.8
Methanofollis ethanolicus,Archaea;Euryarchaeota;Stenosarchaea group,GCA_001571385.1,2.71391,60.3
Methanoculleus thermophilus,Archaea;Euryarchaeota;Stenosarchaea group,GCA_001571405.1,2.22323,59.3
[Zimmermannella] alba NBRC 15616,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570905.1,2.14038,64.7
[Zimmermannella] bifida NBRC 103089,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570925.1,2.1272,61.7
Christensenella minuta,Bacteria;Terrabacteria group;Firmicutes,GCA_003628755.1,2.96929,51.4
Anaerotignum neopropionicum,Bacteria;Terrabacteria group;Firmicutes,GCA_001571775.1,3.19488,40.2
Tsukamurella tyrosinosolvens,Bacteria;Terrabacteria group;Actinobacteria,GCA_002869785.1,4.9224,71.1
Tsukamurella pulmonis,Bacteria;Terrabacteria group;Actinobacteria,GCA_900460155.1,4.77346,70.9
Halomonas axialensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001576535.1,3.61718,56.9
Sinomonas atrocyanea,Bacteria;Terrabacteria group;Actinobacteria,GCA_006539205.1,4.43291,71.4
Pseudoclavibacter helvolus,Bacteria;Terrabacteria group;Actinobacteria,GCA_900014995.1,3.91029,67.1
Steroidobacter denitrificans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001579945.1,3.46725,61.7
Cephaloticoccus primus,Bacteria;PVC group;Verrucomicrobia,GCA_001580015.1,2.35697,63
Cephaloticoccus capnophilus,Bacteria;PVC group;Verrucomicrobia,GCA_001580045.1,2.0925,60.5
Ventosimonas gracilis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001580025.1,2.61915,54.9
Corynebacterium simulans,Bacteria;Terrabacteria group;Actinobacteria,GCA_001586235.1,2.5987,59.3
Magnetospirillum caucaseum,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000342045.1,4.87051,66
Enterobacter roggenkampii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001729805.1,4.9,56.036
Kordiimonas lipolytica,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001550065.1,4.55778,56.3
Kocuria turfanensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001580365.1,4.15964,72.7102
Paraburkholderia monticola,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001580545.1,7.84538,63.8
Acetobacter cerevisiae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001580535.1,3.08807,58
